iter	Passed	Remaining
0	144	144502
1	145	72473
2	145	48469
3	146	36480
4	147	29264
5	147	24450
6	148	21015
7	148	18440
8	149	16437
9	149	14826
10	150	13509
11	150	12414
12	151	11486
13	151	10696
14	152	10013
15	153	9410
16	153	8876
17	153	8401
18	154	7976
19	154	7593
20	155	7247
21	155	6931
22	156	6644
23	156	6380
24	157	6137
25	157	5912
26	158	5704
27	158	5512
28	159	5333
29	159	5166
30	160	5010
31	160	4863
32	161	4733
33	162	4603
34	162	4482
35	163	4368
36	163	4260
37	164	4155
38	164	4057
39	165	3963
40	165	3874
41	166	3790
42	166	3708
43	167	3630
44	167	3556
45	168	3485
46	168	3416
47	168	3351
48	169	3289
49	169	3229
50	170	3170
51	170	3115
52	171	3061
53	171	3009
54	172	2959
55	172	2911
56	173	2865
57	173	2820
58	174	2777
59	174	2735
60	175	2694
61	175	2655
62	176	2617
63	176	2582
64	177	2549
65	177	2516
66	178	2483
67	178	2452
68	179	2421
69	180	2392
70	180	2363
71	181	2336
72	181	2308
73	182	2282
74	182	2256
75	183	2232
76	184	2208
77	184	2184
78	185	2162
79	186	2140
80	186	2118
81	187	2096
82	187	2072
83	188	2052
84	188	2031
85	189	2012
86	190	1994
87	190	1977
88	191	1959
89	192	1942
90	192	1925
91	193	1908
92	193	1891
93	194	1874
94	194	1857
95	195	1841
96	196	1825
97	196	1810
98	197	1794
99	197	1779
100	198	1765
101	198	1751
102	199	1736
103	199	1723
104	200	1710
105	201	1697
106	201	1684
107	202	1671
108	202	1658
109	203	1645
110	203	1633
111	204	1621
112	205	1609
113	205	1597
114	206	1586
115	206	1575
116	207	1563
117	207	1552
118	208	1541
119	208	1530
120	209	1519
121	209	1509
122	210	1498
123	210	1489
124	211	1479
125	211	1469
126	212	1459
127	212	1449
128	213	1441
129	214	1432
130	214	1423
131	215	1414
132	215	1406
133	216	1398
134	216	1389
135	217	1382
136	218	1374
137	218	1366
138	219	1358
139	219	1351
140	220	1343
141	221	1335
142	221	1328
143	222	1321
144	222	1314
145	223	1307
146	224	1300
147	224	1293
148	225	1287
149	226	1281
150	226	1275
151	227	1268
152	228	1262
153	228	1255
154	229	1249
155	229	1242
156	230	1236
157	230	1229
158	231	1223
159	231	1217
160	232	1210
161	232	1204
162	233	1199
163	234	1193
164	234	1187
165	235	1181
166	235	1175
167	236	1170
168	237	1166
169	237	1161
170	238	1156
171	239	1151
172	239	1146
173	240	1141
174	240	1135
175	241	1130
176	242	1125
177	242	1120
178	243	1115
179	243	1110
180	244	1105
181	244	1100
182	245	1095
183	245	1090
184	246	1086
185	247	1082
186	247	1077
187	248	1073
188	249	1069
189	249	1064
190	250	1060
191	250	1055
192	251	1051
193	252	1047
194	252	1043
195	253	1039
196	253	1034
197	254	1030
198	254	1026
199	255	1022
200	256	1018
201	256	1014
202	257	1010
203	257	1006
204	258	1002
205	259	998
206	259	994
207	260	990
208	260	986
209	261	982
210	261	979
211	262	975
212	263	971
213	263	968
214	264	964
215	264	961
216	265	957
217	266	954
218	266	951
219	267	947
220	267	944
221	268	941
222	269	937
223	269	934
224	270	930
225	270	927
226	271	924
227	271	920
228	272	917
229	273	914
230	273	910
231	274	907
232	274	904
233	275	901
234	275	898
235	276	895
236	277	891
237	277	888
238	278	885
239	278	882
240	279	879
241	279	877
242	280	873
243	281	871
244	281	868
245	282	865
246	283	863
247	283	860
248	284	857
249	284	854
250	285	851
251	286	849
252	286	846
253	287	844
254	288	841
255	288	838
256	289	836
257	289	833
258	290	831
259	291	828
260	291	826
261	292	824
262	293	821
263	293	818
264	294	816
265	294	813
266	295	810
267	295	808
268	296	805
269	297	803
270	297	801
271	298	798
272	298	796
273	299	793
274	300	791
275	300	789
276	301	786
277	301	784
278	302	781
279	303	779
280	303	776
281	304	774
282	304	772
283	305	769
284	305	767
285	306	765
286	307	763
287	307	761
288	308	758
289	309	756
290	309	754
291	310	752
292	310	750
293	311	748
294	312	746
295	312	744
296	313	742
297	314	739
298	314	737
299	315	735
300	315	733
301	316	731
302	317	729
303	317	727
304	318	725
305	318	722
306	319	720
307	319	718
308	320	716
309	320	714
310	321	712
311	322	710
312	322	708
313	323	706
314	323	704
315	324	701
316	324	700
317	325	698
318	326	696
319	327	694
320	327	693
321	328	691
322	328	689
323	329	687
324	330	685
325	330	683
326	331	682
327	331	680
328	332	678
329	333	676
330	333	674
331	334	672
332	334	670
333	335	669
334	336	667
335	336	665
336	337	663
337	337	661
338	338	659
339	338	657
340	339	656
341	339	654
342	340	652
343	341	650
344	341	649
345	342	647
346	343	645
347	343	643
348	344	642
349	344	640
350	345	638
351	345	636
352	346	635
353	347	633
354	347	631
355	348	629
356	348	628
357	349	626
358	349	624
359	350	623
360	351	621
361	351	619
362	352	618
363	352	616
364	353	615
365	354	613
366	354	612
367	355	610
368	356	608
369	356	607
370	357	605
371	357	604
372	358	602
373	359	601
374	359	599
375	360	597
376	360	596
377	361	594
378	362	593
379	362	591
380	363	590
381	363	588
382	364	587
383	365	585
384	365	584
385	366	582
386	366	581
387	367	579
388	368	578
389	368	576
390	369	575
391	369	573
392	370	572
393	371	570
394	371	569
395	372	567
396	372	566
397	373	565
398	374	563
399	374	562
400	375	560
401	376	559
402	376	558
403	377	556
404	377	555
405	378	553
406	379	552
407	379	550
408	380	549
409	380	548
410	381	546
411	382	545
412	382	543
413	383	542
414	383	540
415	384	539
416	384	538
417	385	536
418	386	535
419	386	533
420	387	532
421	387	531
422	388	529
423	389	528
424	389	527
425	390	525
426	390	524
427	391	523
428	392	521
429	392	520
430	393	519
431	393	517
432	394	516
433	395	515
434	395	513
435	396	512
436	396	511
437	397	510
438	398	508
439	398	507
440	399	506
441	399	504
442	400	503
443	401	502
444	401	501
445	402	499
446	403	498
447	403	497
448	404	496
449	405	495
450	405	493
451	406	492
452	406	491
453	407	489
454	408	488
455	408	487
456	409	486
457	410	485
458	410	484
459	411	482
460	411	481
461	412	480
462	412	479
463	413	477
464	414	476
465	414	475
466	415	474
467	415	472
468	416	471
469	416	470
470	417	468
471	418	467
472	418	466
473	419	465
474	420	464
475	420	463
476	421	461
477	421	460
478	422	459
479	423	458
480	423	457
481	424	456
482	424	454
483	425	453
484	426	452
485	426	451
486	427	450
487	428	449
488	428	447
489	429	446
490	429	445
491	430	444
492	431	443
493	431	442
494	432	441
495	433	440
496	433	439
497	434	437
498	435	436
499	435	435
500	436	434
501	437	433
502	437	432
503	438	431
504	438	430
505	439	429
506	440	427
507	440	426
508	441	425
509	441	424
510	442	423
511	443	422
512	443	421
513	444	420
514	444	419
515	445	417
516	446	416
